image_path,source,aqi,pm25,pm10,aqi_soft,aqi_category,aqi_bin,day_night,depth_path,depth_available,has_aqi,has_pm25,has_pm10,sample_weight,notes,pm25_bin,strat
/Users/nesar/VS/Image-only/data/kaggle/Air Pollution Image Dataset/Air Pollution Image Dataset/Combined_Dataset/All_img/BRI_Un_2023-02-02- 12.00-7.jpg,IND_NEP,158.0,70.08,100.82,158.0,d_Unhealthy,3,Day,/Users/nesar/VS/Image-only/data/images/128_depth/BRI_Un_2023-02-02- 12.00-7.jpg.npy,True,True,True,True,0.0090387690757773,,2,2_Day_IND_NEP
/Users/nesar/VS/Image-only/data/kaggle/Air Pollution Image Dataset/Air Pollution Image Dataset/Combined_Dataset/All_img/BRI_Un_2023-02-02- 12.00-15.jpg,IND_NEP,158.0,70.08,100.82,158.0,d_Unhealthy,3,Day,/Users/nesar/VS/Image-only/data/images/128_depth/BRI_Un_2023-02-02- 12.00-15.jpg.npy,True,True,True,True,0.0090387690757773,,2,2_Day_IND_NEP
/Users/nesar/VS/Image-only/data/kaggle/Air Pollution Image Dataset/Air Pollution Image Dataset/Combined_Dataset/All_img/BRI_Un_2023-02-02- 12.00-13.jpg,IND_NEP,158.0,70.08,100.82,158.0,d_Unhealthy,3,Day,/Users/nesar/VS/Image-only/data/images/128_depth/BRI_Un_2023-02-02- 12.00-13.jpg.npy,True,True,True,True,0.0090387690757773,,2,2_Day_IND_NEP
/Users/nesar/VS/Image-only/data/kaggle/Air Pollution Image Dataset/Air Pollution Image Dataset/Combined_Dataset/All_img/BRI_Un_2023-02-02- 12.00-10.jpg,IND_NEP,158.0,70.08,100.82,158.0,d_Unhealthy,3,Day,/Users/nesar/VS/Image-only/data/images/128_depth/BRI_Un_2023-02-02- 12.00-10.jpg.npy,True,True,True,True,0.0090387690757773,,2,2_Day_IND_NEP
/Users/nesar/VS/Image-only/data/kaggle/Air Pollution Image Dataset/Air Pollution Image Dataset/Combined_Dataset/All_img/BIR_UNH_VF_2023-02-02- 12.00-3-9.jpg,IND_NEP,158.0,70.08,100.82,158.0,d_Unhealthy,3,Day,/Users/nesar/VS/Image-only/data/images/128_depth/BIR_UNH_VF_2023-02-02- 12.00-3-9.jpg.npy,True,True,True,True,0.0090387690757773,,2,2_Day_IND_NEP
/Users/nesar/VS/Image-only/data/kaggle/Air Pollution Image Dataset/Air Pollution Image Dataset/Combined_Dataset/All_img/BIR_UNH_VF_2023-02-02- 12.00-3-77.jpg,IND_NEP,158.0,70.08,100.82,158.0,d_Unhealthy,3,Day,/Users/nesar/VS/Image-only/data/images/128_depth/BIR_UNH_VF_2023-02-02- 12.00-3-77.jpg.npy,True,True,True,True,0.0090387690757773,,2,2_Day_IND_NEP
/Users/nesar/VS/Image-only/data/kaggle/Air Pollution Image Dataset/Air Pollution Image Dataset/Combined_Dataset/All_img/BIR_UNH_VF_2023-02-02- 12.00-3-70.jpg,IND_NEP,158.0,70.08,100.82,158.0,d_Unhealthy,3,Day,/Users/nesar/VS/Image-only/data/images/128_depth/BIR_UNH_VF_2023-02-02- 12.00-3-70.jpg.npy,True,True,True,True,0.0090387690757773,,2,2_Day_IND_NEP
/Users/nesar/VS/Image-only/data/kaggle/Air Pollution Image Dataset/Air Pollution Image Dataset/Combined_Dataset/All_img/BIR_UNH_VF_2023-02-02- 12.00-3-68.jpg,IND_NEP,158.0,70.08,100.82,158.0,d_Unhealthy,3,Day,/Users/nesar/VS/Image-only/data/images/128_depth/BIR_UNH_VF_2023-02-02- 12.00-3-68.jpg.npy,True,True,True,True,0.0090387690757773,,2,2_Day_IND_NEP
/Users/nesar/VS/Image-only/data/kaggle/Air Pollution Image Dataset/Air Pollution Image Dataset/Combined_Dataset/All_img/BIR_UNH_VF_2023-02-02- 12.00-3-67.jpg,IND_NEP,158.0,70.08,100.82,158.0,d_Unhealthy,3,Day,/Users/nesar/VS/Image-only/data/images/128_depth/BIR_UNH_VF_2023-02-02- 12.00-3-67.jpg.npy,True,True,True,True,0.0090387690757773,,2,2_Day_IND_NEP
/Users/nesar/VS/Image-only/data/kaggle/Air Pollution Image Dataset/Air Pollution Image Dataset/Combined_Dataset/All_img/BIR_UNH_VF_2023-02-02- 12.00-3-61.jpg,IND_NEP,158.0,70.08,100.82,158.0,d_Unhealthy,3,Day,/Users/nesar/VS/Image-only/data/images/128_depth/BIR_UNH_VF_2023-02-02- 12.00-3-61.jpg.npy,True,True,True,True,0.0090387690757773,,2,2_Day_IND_NEP
